speaker,episode,sheet,context,english,dutch,utterer_key
DJ Dope Ass,E4,E4_AstralPlaneMain_localization,,"Help me out and bring me some, will you?","Doet mij een plezier en fix mij wat, oké?",SAY.Dialog:DJDopePreConcert.92.DJ Dope Ass
DJ Dope Ass,E4,E4_AstralPlaneMain_localization,Repeater lines if the Purple Stuff has not been picked up.,Where's that Purple Stuff? I thought you were gonna get me that Purple Stuff?,Waar is dat Paarse Spul? Ik dacht dat gij mij wat van dat Paarse Spul ging fixen?,SAY.Dialog:DJDopePreConcert.79.DJ Dope Ass
DJ Dope Ass,E4,E4_AstralPlaneMain_localization,,I REALLY need that Purple Stuff or I can't start my Concert!,Ik heb ECHT dat Paarse Spul nodig of ik kan mijn Concert niet starten!,SAY.Dialog:DJDopePreConcert.98.DJ Dope Ass
DJ Dope Ass,E4,E4_AstralPlaneMain_localization,"Sick returns to the DJ donkey: Dope Ass, with the Purple Stuff",Booyah! I love that PURPLE STUFF!,JOOOOOOOOOW! Ik ben ZOT van dat Paarse Spul!,SAY.Dialog:ConcertStart.39.DJ Dope Ass
DJ Dope Ass,E4,E4_AstralPlaneMain_localization,,LET'S DO THIS!,LOSGAAN!,SAY.Dialog:ConcertStart.100.DJ Dope Ass
DJ Dope Ass,E4,E4_AstralPlaneMain_localization,The camera moves back to DJ Dope Ass.,What's good my fellow ASSES!!,GOEDEAVOND MEDE-EZELS!!!!,SAY.Dialog:ConcertStart.71.DJ Dope Ass
DJ Dope Ass,E4,E4_AstralPlaneMain_localization,,Thanks for coming out tonight to my SET!!,BEDANKT VOOR BUITEN TE KOMEN VOOR MIJN SET!!,SAY.Dialog:ConcertStart.72.DJ Dope Ass
DJ Dope Ass,E4,E4_AstralPlaneMain_localization,,"Whether you're a freakin' Newbie or you've been here for a thousand years, get ready to let LOOSE!!!","Of je een Nieuwkomertje bent of hier al DUIZEND JAAR ZIT, maak je klaar om te FEESTEN!",SAY.Dialog:ConcertStart.73.DJ Dope Ass
DJ Dope Ass,E4,E4_AstralPlaneMain_localization,,Let me hear you say: Fuck Reassignment! I'm never going back!,Laat mij jullie horen: Fuck Heraanstelling! IK GA NOOIT MEER TERUG!,SAY.Dialog:ConcertStart.75.DJ Dope Ass
DJ Dope Ass,E4,E4_AstralPlaneMain_localization,Energy explodes and donkeys party.,BOOYAAAHH!!,JOEEEEEEEEEE!,SAY.Dialog:ConcertStart.82.DJ Dope Ass
Dusty Ass,E4,E4_AstralPlaneMain_localization,"Sick meets one of the donkeys in the Orgy: Blunt, Dusty, Furry","I perished in the 1400s, so others hath at times described my methods as traditional.",Ik ben tenonder gegaan in de jaaren 1400. Anderen beschouwen mijn vaardigheeden als... ouderwets.,SAY.Dialog:DustySex.10.Dusty Ass
Dusty Ass,E4,E4_AstralPlaneMain_localization,,But lo! You look ready for a History lesson!,Maar kijk eens aan! Jij ziet er klaer uit voor een les uit de Geschiedenis!,SAY.Dialog:DustySex.39.Dusty Ass
Dusty Ass,E4,E4_AstralPlaneMain_localization,,What say thee?,Wat zegde gij?,SAY.Dialog:DustySex.40.Dusty Ass
Dusty Ass,E4,E4_AstralPlaneMain_localization,Repeater line. If sex has not been had.,Fancy a roll in my hay?,Wil je een keertje in mijn hooi rollen?,SAY.Dialog:DustySex.12.Dusty Ass
Dusty Ass,E4,E4_AstralPlaneMain_localization,Repeater line. If sex has been had before.,Hath thou still a dash of appetite?,En heeft U nog een vleugje honger?,SAY.Dialog:DustySex.19.Dusty Ass
Elephant,E5,E5_CircusMain_localization,This dialogue is said if the Elephant tries to the go the wrong way,This isn't the way to the stage...,Dit is niet de weg naar het podium...,SAY.Dialog:ElephantWrongWay.1.Elephant
Fancy Sign,E1,E1_Farm_localization,Interactable Object.,The State of the Art Mill and Granary,De Ultramoderne Molen met Graanopslag,SAY.Sign_Mill_Fancy.1.Fancy Sign
Fancy Sign,E1,E1_TheProtest_localization,,The State of the Art Mill and Granary,De piekfijne Molen met Graanopslag.,SAY.Sign_Mill_Fancy.1.Fancy Sign
Fancy Sign,E2,E2_World_A1_localization,"Interactable Object, Sign.",The State of the Art Mill and Granary,De hoogmoderne Molen en Graanschuur.,SAY.Sign_Mill_Fancy.1.Fancy Sign
Fancy Sign,E2,E2_World_B1_localization,"Interactable Object, Sign.",The State of the Art Mill and Granary,De piekfijne Molen en Graanschuur.,SAY.Sign_Mill_Fancy.1.Fancy Sign
Fancy Sign,E2,E2_World_B2_localization,"Interactable Object, Sign.",The State of the Art Mill and Granary,De hoogmoderne Molen en Graanschuur.,SAY.Sign_Mill_Fancy.1.Fancy Sign
Firm Ass,E4,E4_AstralPlaneMain_localization,,"If you want to talk to Wise Ass, just remember she's been here longer than anyone can remember.","Als je met Wise Ass wil spreken, onthoud gewoon dat ze hier al véél langer dan ons allemaal zit.",SAY.Dialog:Firm.10.Firm Ass
Firm Ass,E4,E4_AstralPlaneMain_localization,,Be respectful. Wise Ass knows the answer to everything.,Wees respectvol. Wise Ass heeft een antwoord op alles.,SAY.Dialog:Firm.12.Firm Ass
Firm Ass,E4,E4_AstralPlaneMain_localization,,You should be respectful.,Je moet respect hebben.,SAY.Dialog:Firm.18.Firm Ass
Fresh Ass,E4,E4_AstralPlaneMain_localization,,Sure! How about... 455?,Oké! Misschien... 455?,SAY.Dialog:Gamblers.110.Fresh Ass
Furry Ass,E4,E4_AstralPlaneMain_localization,"Sick meets one of the donkeys in the Orgy: Blunt, Dusty, Furry",Don't you love this place? We can really embrace our instincts.,Vind je 't hier niet geweldig? Je kan hier je eigen instinct omarmen.,SAY.Dialog:FurrySex.10.Furry Ass
Furry Ass,E4,E4_AstralPlaneMain_localization,,I promise I'll be really gentle—if you want me to.,"Heel zachtjes, ik beloof dat ik het heel rustig doe — als je goesting hebt.",SAY.Dialog:FurrySex.47.Furry Ass
Furry Ass,E4,E4_AstralPlaneMain_localization,Repeater line. If sex has not been had.,How about now?,En nu?,SAY.Dialog:FurrySex.12.Furry Ass
Furry Ass,E4,E4_AstralPlaneMain_localization,Repeater line. If sex has been had before.,Want some more Furry?,Wil je wat meer harige toestanden?,SAY.Dialog:FurrySex.19.Furry Ass
Golden Ass,E9,E9_GoldenAss_localization,,SILENCE VASSALS!,STILTE VAZALLEN!,SAY.Dialog:Meeting.24.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,WE ARE THE GODS OF CHANGE.,WIJ ZIJN DE GODEN VAN VERANDERING.,SAY.Dialog:Meeting.194.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,WE ARE ALL POWERFUL!,WIJ ZIJN ALMACHTIG!,SAY.Dialog:Meeting.707.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,SILENCE.,STILTE.,SAY.Dialog:Meeting.201.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,We are speaking to you from the Astral Plane through the Vassal formerly known as Sick Ass.,"Wij spreken tot u vanuit het Astrale Hiernamaals, door de Vazal voorheen bekend als Snot Ezel.",SAY.Dialog:Meeting.203.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,*COUGH*,*HOEST*,SAY.Dialog:Meeting.202.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,We are conducting a search for a suitable Prophet.,Wij zijn op zoek naar een geschikte Profeet.,SAY.Dialog:Meeting.204.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,A Prophet spreads our holy message far and wide.,Een Profeet verspreidt onze heilige boodschap wijd en zijd.,SAY.Dialog:Meeting.461.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,Jump to line 41.,That a world in which Humans no longer have control over other living beings is coming.,Dat er een wereld komt waarin Mensen geen heerschappij meer voeren over andere levende wezens.,SAY.Dialog:Meeting.471.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,Jump to line 41.,That the time to rise up against Humans and end their rule is nigh.,Dat de tijd om op te staan tegen de Mensen en hun heerschappij te beëindigen nabij is.,SAY.Dialog:Meeting.472.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,Singular pronoun neutral,They ride upon our back and convert enemies into allies everywhere we go.,"Een Profeet rijdt op onze rug en bekeert vijanden tot bondgenoten, overal waar wij gaan.",SAY.Dialog:Meeting.462.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,Jump to line 41.,We shall build a world in which Humans no longer have control over other living beings.,Wij zullen een wereld bouwen waarin Mensen niet langer heerschappij voeren over andere levende wezens.,SAY.Dialog:Meeting.485.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,Jump to line 41.,We shall rise up against Humans and end their rule.,Wij zullen opstaan tegen de Mensen en hun heerschappij beëindigen.,SAY.Dialog:Meeting.486.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,"Dialogue options (1.1., 1.2, 2.1, 2.2) converge.",We shall now depart to find our next Human Proph—,Wij zullen nu vertrekken om onze volgende Menselijke Prof—,SAY.Dialog:Meeting.444.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,We have changed our minds.,Wij zijn van gedachten veranderd.,SAY.Dialog:Meeting.455.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,Ending of the part that takes place inside the mind of the Gods.,One of you two Machines shall become our Prophet.,Eén van u twee Machines zal onze Profeet worden.,SAY.Dialog:Meeting.456.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,"That is not for us Gods to decide, but rather for each and every user of a Machine.","Dat is niet aan ons Goden om te beslissen, maar veeleer aan iedere gebruiker van een Machine.",SAY.Dialog:Meeting.492.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,We see no future in Absolutes.,Wij zien geen toekomst in het Absolute.,SAY.Dialog:Meeting.443.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,A true Vassal must be able to carry the weight of History and Progress together.,Een waarachtig Vazal moet het gewicht van Geschiedenis én Vooruitgang tezamen kunnen dragen.,SAY.Dialog:Meeting.491.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,We shall now pick our Prophet:,Wij zullen nu onze Profeet aanwijzen:,SAY.Dialog:Meeting.435.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,"Cole Butte, you shall be the next Prophet.","Piet Vanscheetvelde, gij zult de volgende Profeet zijn.",SAY.Dialog:Meeting.44.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,You shall join the ranks of great leaders from across time immemorial.,Gij zult toetreden tot de gelederen van grote leiders uit alle tijden der onheuglijkheid.,SAY.Dialog:Meeting.237.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,As the Prophet you shall go down in History as the first Prophet-Machine.,Als de Profeet zult gij de Geschiedenis ingaan als de eerste Profetische Machine.,SAY.Dialog:Meeting.582.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,You shall be imbued with the Power to promote a radical new vision of the world.,Gij zult doordrenkt worden met de Macht om een radicale nieuwe visie op de wereld te verbreiden.,SAY.Dialog:Meeting.567.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,Cole Butte.,Piet Vanscheetvelde.,SAY.Dialog:Meeting.724.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,You know in your Soul that a philosophical transformation is necessary now more than ever.,Gij weet in uw Ziel dat een filosofische transformatie nu meer dan ooit noodzakelijk is.,SAY.Dialog:Meeting.547.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,You are living proof that Humans have the ability to transcend their station.,Gij zijt het levende bewijs dat Mensen het vermogen bezitten hun stand te overstijgen.,SAY.Dialog:Meeting.545.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,If you wish.,Indien gij dat wenst.,SAY.Dialog:Meeting.726.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,No.,Neen.,SAY.Dialog:Meeting.497.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,Excellent. Climb onto our back and let us fly on the Winds of Revolution!,Voortreffelijk. Bestijg onze rug en laat ons vliegen op de Winden der Revolutie!,SAY.Dialog:Meeting.500.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,"Let us depart, Prophet.","Laat ons vertrekken, Profeet.",SAY.Dialog:Meeting.504.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,*COUGH COUGH*,*HOEST HOEST*,SAY.Dialog:Meeting.509.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,No.,Neen.,SAY.Dialog:Meeting.510.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,"{$NewName}, you shall be the next Prophet.","{$NewName}, gij zult de volgende Profeet zijn.",SAY.Dialog:Meeting.277.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,You shall join the ranks of great leaders from across time immemorial.,Gij zult toetreden tot de gelederen der grote leiders uit alle tijden des onheuglijken.,SAY.Dialog:Meeting.278.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,Get on our back for we have much work to do.,"Bestijg onze rug, want wij hebben veel werk te verrichten.",SAY.Dialog:Meeting.673.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,Climb upon us and let us fly on the Winds of Revolution!,Bestijg ons en laat ons vliegen op de Winden der Revolutie!,SAY.Dialog:Meeting.672.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,Your commitment to the cause shall be Eternal.,Uw toewijding aan de zaak zal Eeuwig zijn.,SAY.Dialog:Meeting.647.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,As long as it takes until all life is freed from under the yoke of Human tyranny.,"Zolang als nodig is, totdat al het leven bevrijd is van onder het juk der Menselijke tirannie.",SAY.Dialog:Meeting.644.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,She is not yet ready to support your Movement.,Zij is nog niet gereed om uw Beweging te ondersteunen.,SAY.Dialog:Meeting.639.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,Only the passing of time shall tell how she will contribute to the cause.,Slechts het verstrijken der tijd zal openbaren hoe zij aan de zaak zal bijdragen.,SAY.Dialog:Meeting.640.Golden Ass
Golden Ass,E9,E9_GoldenAss_localization,,"Let us depart, Prophet.","Laat ons vertrekken, Profeet.",SAY.Dialog:Meeting.600.Golden Ass
Grandma Kulan,E1,E1_Farm_localization,,Of course! Offer it some oats.,Natuurlijk! Geef het wat haver.,SAY.Dialog:JoeyFeeding.2.Grandma Kulan
Grandma Kulan,E1,E1_Farm_localization,,"Donkeys aren't very smart, honey. Come on, let's go home.","Ezeltjes zijn niet zo slim, schat. Kom, we gaan naar huis.",SAY.Dialog:JoeyFeeding.18.Grandma Kulan
Grandma Kulan,E1,E1_Farm_localization,,"Come along, darling. This donkey seems greedy.","Kom, we gaan, schat. Dit ezeltje is wat gierig.",SAY.Dialog:JoeyFeeding.51.Grandma Kulan
Grandma Kulan,E5,E5_CircusMain_localization,"The camera moves over to Mme. Derriere and Grandma Kulan, who is just on her way out.","Mme. Derriere, may I have moment of your time?","Mevr. Derrière, heeft u een momentje?",SAY.Dialog:Ending.280.Grandma Kulan
Grandma Kulan,E5,E5_CircusMain_localization,,My darling Joey would have loved this show.,Mijn kleinzoon Luukske zou zo van de voorstelling genoten hebben.,SAY.Dialog:Ending.285.Grandma Kulan
Grandma Kulan,E5,E5_CircusMain_localization,,But his life was cut short during the tragic fires of Bumpkin Village exactly 6 months and 3 weeks ago.,Maar zijn leven is vroegtijdig ten einde gekomen in de brand van Muilegem — exact 6 maand en 3 weken geleden.,SAY.Dialog:Ending.284.Grandma Kulan
Grandma Kulan,E5,E5_CircusMain_localization,,"With all your power and resources, will you prevent fires like Bumpkin's from ever happening again?","Met al je vermogen en invloed, ga je ervoor zorgen dat zulke dramas, zoals die van Muilegem, zich toch niet meer herhalen?",SAY.Dialog:Ending.286.Grandma Kulan
Grandma Kulan,E5,E5_CircusMain_localization,,Oh my! Really?,Oh? Meen je dat echt?,SAY.Dialog:Ending.281.Grandma Kulan
Grandma Kulan,E5,E5_CircusMain_localization,,But I don't even have the strength to go back and visit Bumpkin...,Maar ik heb zelfs de kracht niet om terug te gaan voor een bezoek aan Muilegem...,SAY.Dialog:Ending.292.Grandma Kulan
Grandma Kulan,E5,E5_ZooMain_localization,Said by Grandma Kulan when the Player presses 'x' close to her.,Sigh... Joey would have loved this...,Zucht...Luukske zou dit geweldig gevonden hebben...,SAY.Dialog:Grandma.8.Grandma Kulan
Grandma Kulan,E5,E5_ZooMain_localization,"The final dialogue said by Grandma Kulan when the Player presses 'x' close to her, if the Player has visited her every day.",Thank you for coming to visit me everyday.,Bedankt om elke dag langs te komen.,SAY.Dialog:Grandma.23.Grandma Kulan
Grandma Kulan,E5,E5_ZooMain_localization,,Maybe donkeys do have souls after all...?,Misschien hebben Ezels dan toch zielen...?,SAY.Dialog:Grandma.27.Grandma Kulan
Grandma Kulan,E5,E5_ZooMain_localization,,I think I'm going to donate all my money to this Zoo.,Ik denk dat ik al mijn centen aan de Dierentuin ga doneren.,SAY.Dialog:Grandma.28.Grandma Kulan
Grandma Kulan,E5,E5_ZooMain_localization,,Thank you donkey!,Danku ezeltje!,SAY.Dialog:Grandma.29.Grandma Kulan
Greedy Ass,E4,E4_AstralPlaneMain_localization,oof Jobs = Hoof Jobs = Hand Jobs?,"Ah shaddup, let's make another wager! Double or nothin'—Winner gets two 'oof Jobs!",Och zwijgt! Nog een weddenschap. Dubbel of niets— de Winnaar krijgt twee hoefbeurtjes!,SAY.Dialog:Gamblers.5.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,,You kiddin' me? Only fifty more? Fuggetaboutit!,"Wat!? Maar vijftig meer? Laat maar zitten, jong.",SAY.Dialog:Gamblers.111.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,Jump to line 50 or 52.,What about you? You wanna bet?,En jij? Wilde gokken?,SAY.Dialog:Gamblers.112.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,Jump to line 55.,I knew she was the gambling type!,Ik wist dat ze een gat in haar hand had!,SAY.Dialog:Gamblers.137.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,,No? Don't be a Loser! It's just a little bit of fun!,Nee? Niet flauw doen! 't Is maar voor de lol!,SAY.Dialog:Gamblers.115.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,Jump to line 55.,You like fun don't you?,"Jij hebt toch graag lol, of niet?",SAY.Dialog:Gamblers.125.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,If guessed 5000+.,{$Number}? Are things that bad in the land of the livin'? Fuggetaboutit! Yeesh!,"{$Number}? Is het zo pover gesteld in het land der levenden? Laat maar zitten, jong! Gadver!",SAY.Dialog:Gamblers.78.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,Repeater line.,"{$Number}, don't worry—a number that high? We won't forget.","{$Number}, geen zorgen — zo hoog? Dat gaan we niet snel vergeten.",SAY.Dialog:Gamblers.103.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,If guessed 1000-5000.,{$Number}. Pretty reasonable.,{$Number}. Redelijk.,SAY.Dialog:Gamblers.80.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,,For a Loser!,Voor een loser!,SAY.Dialog:Gamblers.126.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,Repeater line.,{$Number}? You gotta play big to win big!,{$Number}? Hard gaan om hard te winnen!,SAY.Dialog:Gamblers.48.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,If guessed 300-1000.,"{$Number}... Modest. Playing it safe, are ya?","{$Number}... Matig. We houden het rustig, zeker?",SAY.Dialog:Gamblers.87.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,,Like a Loser!,Zoals een loser!,SAY.Dialog:Gamblers.127.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,Repeater line.,{$Number}... Let's see if the numbers work in your favour!,{$Number}...Laten we eens zien of de nummers in jouw voordeel spelen!,SAY.Dialog:Gamblers.51.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,If guessed 0-300.,{$Number}? Not in your life! We ain't had a night that low in weeks!,{$Number}? Nooit van z'n leven! Het is echt al weken geleden dat we zo tegen de grond lagen!,SAY.Dialog:Gamblers.85.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,Repeater line.,{$Number}. Sheesh. How low can you go?,{$Number}. Gadver. Hoe laag kun je gaan?,SAY.Dialog:Gamblers.54.Greedy Ass
Greedy Ass,E4,E4_AstralPlaneMain_localization,If guessed 69.,Why do the Newbies always guess 69? Fuggetaboutit!,"Waarom moeten de Nieuwkomertjes altijd 69 inzetten? Laat maar zitten, jong!",SAY.Dialog:Gamblers.132.Greedy Ass
Gullible Ass,E4,E4_AstralPlaneMain_localization,,"Wow. You are an inspiration, sir.","Wow. Wat een inspiratie, meneer.",SAY.Dialog:OldAss.113.Gullible Ass
Gullible Ass,E4,E4_AstralPlaneMain_localization,,"Nice to meet you, Comrade Sick!","Prettige kennismaking, Kameraad Snotje!",SAY.Dialog:OldAss.65.Gullible Ass
Hairy Ass,E4,E4_AstralPlaneMain_localization,Sick talks with a donkey from HAW—Humans Are the Worst (An AntiHuman group of donkeys),"G'day mate! Crikey, I hayte Humans cuz they shot me and family from thehr helicoptahs.","Goeiendag maatje! Gadver, ik moet van Mensen nie hebben omdat mijn famille neergekogelt hebben van hun helikokters!",SAY.Dialog:Hairy.10.Hairy Ass
Hairy Ass,E4,E4_AstralPlaneMain_localization,Repeater line.,"It wuz a real bugga, lemme tell ya.","'t was gene sinekure zenne, laat me u dat maar zeggen.",SAY.Dialog:Hairy.12.Hairy Ass
Happy Ass,E1,E1_RedFields_localization,Dialogue with the Asses on the Astral Plane.,Hello Newbie!,"Hoi, Nieuweling.",SAY.Dialog:PreMateChosen.1.Happy Ass
Happy Ass,E1,E1_RedFields_localization,,We're here to help with your welcome ritual.,We zijn hier om te helpen met je welkomstritueel.,SAY.Dialog:PreMateChosen.7.Happy Ass
Happy Ass,E1,E1_RedFields_localization,,Which one of us will you choose?,Wie van ons zal je kiezen?,SAY.Dialog:PreMateChosen.4.Happy Ass
Happy Ass,E1,E1_RedFields_localization,After the player has chosen their partner for the welcome ritual.,"Great choice, Newbie.","Mooie keuze, Nieweling.",SAY.Dialog:PreMateChosen.10.Happy Ass
Happy Ass,E1,E1_RedFields_localization,End of dialogue and into the sex rhythm game.,Follow your instincts and feel the love!,Volg je instinct en Feel The Love!,SAY.Dialog:PreMateChosen.11.Happy Ass
Happy Ass,E4,E4_AstralPlaneMain_localization,"Back in the Astral Plane, Sick Ass runs into Happy Ass.",Oh boy. Another one. I almost didn't see you.,Jemig. Nog eentje. Ik zag je bijna niet aankomen.,SAY.Dialog:TrustysMate.30.Happy Ass
Happy Ass,E4,E4_AstralPlaneMain_localization,,I'm doing the welcome ritual for Newbies today.,Ik doe het welkomstritueel voor de Nieuwkomertjes vandaag.,SAY.Dialog:TrustysMate.124.Happy Ass
Happy Ass,E4,E4_AstralPlaneMain_localization,,But there's been over 400 of you already... so I'm a bit... sore.,D'r zijn vandaag al 400 zoals jij gepasseerd... dus ik ben een beetje... stijf.,SAY.Dialog:TrustysMate.123.Happy Ass
Happy Ass,E4,E4_AstralPlaneMain_localization,,But it's really great that you're here. You're going to love it.,Maar goed dat je hier bent. Je gaat dit geweldig vinden.,SAY.Dialog:TrustysMate.146.Happy Ass
Happy Ass,E4,E4_AstralPlaneMain_localization,,Make sure to check out the Concert tonight in the Pond of Hehehehe!,Ga zeker langs het Concert in de Vijver van Vermaak!,SAY.Dialog:TrustysMate.147.Happy Ass
Happy Ass,E4,E4_AstralPlaneMain_localization,,It's going to be 7 and a half hours of AWESOME.,Dat wordt 7 en half uur of TOPFUN.,SAY.Dialog:TrustysMate.148.Happy Ass
Happy Ass,E4,E4_AstralPlaneMain_localization,Repeater line.,Head on up over the hill!,Ga de heuvel op!,SAY.Dialog:TrustysMate.84.Happy Ass
Hard Ass,E1,E1_Farm_localization,Boosting Hard (male) Morale,"At ease, Comrade Trusty.",De Mijn-Ezels hebben besloten om het Protest van Oude Ezel te vervoegen.,SAY.Dialog:HARD_BoostMorale.4.Hard Ass
Hard Ass,E1,E1_Farm_localization,,We Miners have decided to join Old Ass's Protest.,Niets wat we morgen doen zal de ziel van Kameraad Luie naar het Astrale Hiernamaals brengen.,SAY.Dialog:HARD_BoostMorale.6.Hard Ass
Hard Ass,E1,E1_Farm_localization,,Nothing we do tomorrow will send Comrade Lazy's Soul to the Astral Plane.,Maar we zijn het haar verschuldigd om de verdomde Machines die haar hebben vermoord te verbannen... en onze Beroepen terug te pakken.,SAY.Dialog:HARD_BoostMorale.5.Hard Ass
Hard Ass,E1,E1_Farm_localization,,"But, we owe it to her to abolish the Machines that killed her and to get our jobs back.",We houden ons aan het plan en treffen de Kudde bij de brug.,SAY.Dialog:HARD_BoostMorale.7.Hard Ass
Hard Ass,E1,E1_Farm_localization,,We'll stick to the plan and meet the Herd at the bridge.,We houden ons aan het plan en zien de Kudde bij de brug.,SAY.Dialog:HARD_BoostMorale.14.Hard Ass
Hard Ass,E1,E1_Farm_localization,,Give my best to Sad Ass.,Het beste aan Triestigaard.,SAY.Dialog:HARD_BoostMorale.11.Hard Ass
Hard Ass,E1,E1_TheProtest_localization,Recruit Hard Ass,...,...,SAY.Dialog:PickUpHard.3.Hard Ass
Hard Ass,E1,E1_TheProtest_localization,,Old Ass got the Needle?,Oude Zak heeft de Spuit gekregen?,SAY.Dialog:PickUpHard.4.Hard Ass
Hard Ass,E1,E1_TheProtest_localization,,"I know how difficult it is to watch a Comrade die, even if they will one day be reborn.","Ik weet hoe moeilijk het is om een Kameraad tenonder te zien gaan, zelfs al komen ze op een dag terug.",SAY.Dialog:PickUpHard.5.Hard Ass
Hard Ass,E1,E1_TheProtest_localization,,We Miners have a saying:,"Wij, Mijn-Ezels hebben een gezegde:",SAY.Dialog:PickUpHard.6.Hard Ass
Hard Ass,E1,E1_TheProtest_localization,,"""You only hit rock bottom when you quit.""","Pas als je 't opgeeft, is 't gedaan.",SAY.Dialog:PickUpHard.7.Hard Ass
Hard Ass,E1,E1_TheProtest_localization,,Let's go.,Kom.,SAY.Dialog:PickUpHard.9.Hard Ass
Hard Ass,E1,E1_TheProtest_localization,,"That smell, those screams—who did this?","Die geur, die schreeuwen — wie heeft dit gedaan?",SAY.Dialog: FindTheWellConvo.1.Hard Ass
Hard Ass,E1,E1_TheProtest_localization,,...,@#$%&! Wat gaan we nu DOEN?!,SAY.Dialog: WellScene.63.Hard Ass
Hard Ass,E2,E2_World_A1_localization,Soft should be opposite of Hard's name if possible,Old Ass and Trusty Ass were not cut out for the role of leader. They were too soft.,Oude Zak en Trouwe Zak waren niet geschikt voor het leiderschap. Ze zijn te soft.,SAY.Dialog:Opening.11.Hard Ass
Hard Ass,E2,E2_World_A1_localization,,Stop. Who made YOU the leader?,Stop. Sinds wanneer ben JIJ de baas?,SAY.Dialog:Opening.92.Hard Ass
Hard Ass,E2,E2_World_A1_localization,,I do not take orders from you.,Ik pak van jou geen bevelen aan.,SAY.Dialog:Opening.88.Hard Ass
Hard Ass,E2,E2_World_A1_localization,,...no.,...neen.,SAY.Dialog:Opening.14.Hard Ass
Hard Ass,E2,E2_World_B1_localization,,...,...,SAY.Dialog:B1_MainDialog.9.Hard Ass
Hard Ass,E2,E2_World_B1_localization,,I'll do it.,Ik doe het wel.,SAY.Dialog:B1_MainDialog.10.Hard Ass
Hard Ass,E2,E2_World_B1_localization,,I've been through worse than a burning building.,Ik heb al erger dan dit afgebrand gebouw gezien.,SAY.Dialog:B1_MainDialog.29.Hard Ass
Hard Ass,E2,E2_World_B1_localization,Hard looks for houses to enter,Time to get to work.,Tijd om er mee te beginnen.,SAY.Dialog:B1_MainDialog.30.Hard Ass
